date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:39	1372912/1372912	---M-Z	200	added ('OK')	application/javascript	etag:W/%2214f2f0-QfZBavOpFc32YRv2Dg+Eq3Rvqko%22	https://cdn.jsdelivr.net/ghost/signup-form@~0.1/umd/signup-form.min.js	C:/My%20Web%20Sites/hyperdraft/cdn.jsdelivr.net/ghost/signup-form@_0.1/umd/signup-form.min.js	(from https://hyperdraft.rosano.ca/)
21:53:39	2824/2824	---M--	200	added ('OK')	application/javascript	etag:W/%22b08-1945d26eae3%22	https://olsk.rosano.ca/OSFeedbox/master/main.js	C:/My%20Web%20Sites/hyperdraft/olsk.rosano.ca/OSFeedbox/master/main.js	(from https://hyperdraft.rosano.ca/)
21:53:40	4497/4497	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585a6a7c2e3378ef79b4c262ed933904%22	https://hyperdraft.rosano.ca/_shared/__external/ROCORootLink/identity.svg	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/ROCORootLink/identity.svg	(from https://hyperdraft.rosano.ca/)
21:53:40	3791/3791	---MCZ	200	added ('OK')	text/html	etag:W/%228a5583c7e9d4a08eae10968e4fcac80c%22	https://hyperdraft.rosano.ca/fr/write	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/fr/write.html	(from https://hyperdraft.rosano.ca/fr/)
21:53:40	3792/3792	---MCZ	200	added ('OK')	text/html	etag:W/%22e80b79a3bc4d257bab2aad1ac8d74f15%22	https://hyperdraft.rosano.ca/es/write	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/es/write.html	(from https://hyperdraft.rosano.ca/es/)
21:53:41	3792/3792	---MCZ	200	added ('OK')	text/html	etag:W/%225e73281dbcecbb717d42d93e1186a205%22	https://hyperdraft.rosano.ca/pt/write	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/pt/write.html	(from https://hyperdraft.rosano.ca/pt/)
21:53:41	3789/3789	---MCZ	200	added ('OK')	text/html	etag:W/%22fbe62472c7ca68881d40ff162800a38b%22	https://hyperdraft.rosano.ca/write	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/write.html	(from https://hyperdraft.rosano.ca/en/write)
21:53:42	3460/3460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22af5897e407fef37217a8294e76fba49c%22	https://hyperdraft.rosano.ca/_shared/__external/OLSKRouting/main.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/OLSKRouting/main.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:42	8542/8542	---MCZ	200	added ('OK')	text/css	etag:W/%22288352df06a67ee35003b0981da414ac%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/lib/codemirror.css	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/lib/codemirror.css	(from https://hyperdraft.rosano.ca/en/write)
21:53:42	393064/393064	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b106f80ba02063d6de9c8292cf6850bc%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/lib/codemirror.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/lib/codemirror.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:43	3542/3542	---MCZ	200	added ('OK')	application/javascript	etag:W/%22017f0b5ac312a4364f933ddad56f9a67%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/addon/edit/continuelist.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/addon/edit/continuelist.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:44	3241/3241	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f8e4dcaeb7c237cbe4f1f69972cdc8a%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/addon/mode/overlay.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/addon/mode/overlay.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:44	31194/31194	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ebf6861c6352e5ef83dfefc1789aa89%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/mode/markdown/markdown.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/mode/markdown/markdown.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:44	5104/5104	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211b5a43c797f117e29475c8d6e3afd98%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/mode/gfm/gfm.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/mode/gfm/gfm.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:45	10677/10677	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e9998c0f1d576a8ee6a6b0e555fe1e00%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/addon/search/search.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/addon/search/search.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:45	11968/11968	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fa73eef9cf913ee2d766c8501a582a0c%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/addon/search/searchcursor.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/addon/search/searchcursor.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:45	2017/2017	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cf5f2c65e9c8e26841923b5e1a6bf611%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/addon/search/jump-to-line.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/addon/search/jump-to-line.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:46	507/507	---MCZ	200	added ('OK')	text/css	etag:W/%22c89dce10b44d2882a024e7befc2b63f5%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/addon/dialog/dialog.css	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/addon/dialog/dialog.css	(from https://hyperdraft.rosano.ca/en/write)
21:53:46	5175/5175	---MCZ	200	added ('OK')	application/javascript	etag:W/%22904554fefae1a2beb0eaad467018af7a%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/addon/dialog/dialog.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/addon/dialog/dialog.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:46	25289/25289	---MCZ	200	added ('OK')	application/javascript	etag:W/%227da7733bea6c792607d9cfee1b0ecfa9%22	https://hyperdraft.rosano.ca/_shared/__external/codemirror/keymap/sublime.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/codemirror/keymap/sublime.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:47	97630/97630	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b5d02b3f0bf3ae026451909419df07bb%22	https://hyperdraft.rosano.ca/_shared/__external/jszip/dist/jszip.min.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/jszip/dist/jszip.min.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:47	5370/5370	---MCZ	200	added ('OK')	text/css	etag:W/%22dd051b6baec9e89fc12f4956f49c18ea%22	https://hyperdraft.rosano.ca/_shared/__external/launchlet/__compiled/launchlet.css	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/launchlet/__compiled/launchlet.css	(from https://hyperdraft.rosano.ca/en/write)
21:53:48	183899/183899	---MCZ	200	added ('OK')	application/javascript	etag:W/%226d99eb116defc20992df3b310fefa9c6%22	https://hyperdraft.rosano.ca/_shared/__external/launchlet/__compiled/launchlet.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/launchlet/__compiled/launchlet.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:48	696739/696739	---MCZ	200	added ('OK')	application/javascript	etag:W/%2282db60e0bf1832739cd720867e1c9b64%22	https://hyperdraft.rosano.ca/_shared/__external/webnative/dist/index.umd.min.js	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/_shared/__external/webnative/dist/index.umd.min.js	(from https://hyperdraft.rosano.ca/en/write)
21:53:49	11299/11299	---MCZ	200	added ('OK')	text/css	etag:W/%221b3e337ab82627f0fcb95f9386566c24%22	https://hyperdraft.rosano.ca/open-write/__compiled/ui-style.css	C:/My%20Web%20Sites/hyperdraft/hyperdraft.rosano.ca/open-write/__compiled/ui-style.css	(from https://hyperdraft.rosano.ca/en/write)
